company_name,cage,email,phone,contact_name
,,,,
UNIRUBBER INC,0ACP0,,,
"BARNHILL BOLT CO., INC.",0KXH9,,,
UNIVERSAL ENGINE HEATER CO.,19522,,,
"LAINE INDUSTRIES, INC",1M7N0,,,
CTS VALPEY CORPORATION,21821,,,
"TOOMEY ASSOCIATES, INC. DBA TOOMEY ASSOCIATES INC",3V431,,,
ZIOS CORPORATION,3WYK5,,,
"UNAFLEX, INC.",4BNK0,,,
"UNITIS, INC. DBA UNITIS INC",554B9,,,
FILTRATION SYSTEMS PRODUCTS INC. DBA FILTRATION SYSTEMS PRODUCTS,62722,,,
"DYNETICS, INC.",7L855,,,
"ERASER COMPANY INC., THE DBA LUXTHERM INFRARED HEATERS",89630,,,
REES INC,89698,,,
"EDMUND OPTICS, INC",97197,,,
,,,,
ORDNANCE CORPS,00000,,,
,,,,
,,,,
MMC INTERNATIONAL CORP.,00026,,,
ABRAMS INSTRUMENT CORPORATION,00048,,,
,,,,
CTS CO INC,00079,,,
"ROYAL OAK GAGE, INC",00088,,,
"JAMESTOWN METAL MARINE SALES, INC. DBA JAMESTOWN METAL MARINE SALES INC DIV NA",00096,,,
SURE FLOW EQUIPMENT INC DIV SURE FLOW EQUIPMENRT INC,000B3,,,
,,,,
ACE GLASS INC,00115,,,
,,,,
MICROSEMI CORP. - HIGH PERFORMANCE TIMING DBA VECTRON INTERNATIONAL- CANCELLED,00136,,,
ANCHOR TOOL AND DIE CO,00140,,,
SANLO MFG CO INC GUARDIAN INDUSTRIES DIV,00143,,,
,,,,
POLAR HARDWARE MFG CO,00147,,,
ACME ELECTRIC HEATING CORP,00162,,,
ACME INDUSTRIAL COMPANY,00175,,,
EMBRAER S.A.,001JK,,,
LITENS AUTOMOTIVE PARTNERSHIP,001Y9,,,
ACME MANUFACTURING CO,00228,,,
"CEF INDUSTRIES, LLC DBA CEF INDUSTRIES INC",00268,,,
"GEORGIA-PACIFIC, LLC DBA GEORGIA-PACIFIC DIV CONSUMER PRODUCTS",00284,,,
KWIK FILE STORAGE SYSTEMS LLC,00285,,,
RSL ELECTRONICS USA INC,002H2,,,
"AIRVAC, INC.",002T1,,,
POWER ENGINEERING AND EQUIPMENT CO INC,00307,,,
"LEXAN INDUSTRIES, INC DBA STRUTHERS ELECTRONICS DIV STRUTHERS ELECTRONICS",00341,,,
MANUFACTURERS GASKET CO THE,00347,,,
MICROTRAN CO INC,00348,,,
,,,,
BORGWARNER AIR/FLUID SYSTEMS INSTRUMENTATION,003G7,,,
HOLLAENDER MANUFACTURING CO,00403,,,
"BOSTWICK-BRAUN COMPANY, THE",00410,,,
WEBA INC,00459,,,
DOW-KEY MICROWAVE LLC,00471,,,
WILCOX INDUSTRIES CORP. DBA WILCOX INDUSTRIES CORP,004F1,,,
"ALLIED TECHNOLOGY GROUP, INC.",004U1,,,
,,,,
"DEL MAR AVIONICS, LLC DBA DEL MAR AVIONICS",00539,,,
"BARCOVIEW, LLC DIV N/A",005K1,,,
"QUANTA SYSTEMS, LLC DBA BLACK BOX NETWORK SERVICES",00615,,,
,,,,
,,,,
AEROVOX CORP.,00656,,,
,,,,
"CANADY MANUFACTURING CO., INC. DBA CANADY MANUFACTURING CO INC",00678,,,
CASTLE INDUSTRIES INC. OF CALIFORNIA DBA M.C. GILL,00679,,,
AGNEW MACHINE CO,00698,,,
"THE GUND COMPANY, INC. DIV GUND COMPANY, INC., THE",006V4,,,
PROTECTOWIRE CO INC,00710,,,
"SPECIALTIES MANUFACTURING CO., INC. DBA SPEMCO SWITCHES",00715,,,
"AIR PRODUCTS & CHEMICALS, INC",00742,,,
"BURGESS MANNING, INC. DBA SKIMOVEX USA",00743,,,
"L3HARRIS TECHNOLOGIES, INC. DBA HARRIS CORP DIV ANTENNA PRODUCTS",00752,,,
,,,,
"WESTERN FILAMENT, INC.",00768,,,
PACIFIC GRINDING WHEEL CO INC,00773,,,
,,,,
"TWIST TITE MFG, INC DBA TWIST TITE MANUFACTURING INC",007R1,,,
WENZEL INTERNATIONAL INC DIV CROVEN CRYSTALS,00809,,,
"PALOMAR PRODUCTS, INC. DBA PALOMAR PRODUCTS INC",00816,,,
AVEC ELECTRONICS CORP,00907,,,
SIOUX TOOLS INC,00988,,,
NATIONAL TOOL GRINDING INC,009A6,,,
CONNECTOR SPECIALISTS INC,009L1,,,
LIPHATECH INC.,00A02,,,
"DANIELS EQUIPMENT COMPANY, INC. DIV NA",00AC6,,,
STANLEY FASTENING SYSTEMS,00AG3,,,
MATERIALS ENGINEERING AND TECHNICAL SUPPORT SERVICES CORP.,00AW2,,,
RED ROCK TECHNOLOGIES INC,00CP6,,,
RENEGAR DRIGGERS MACHINERY COMPANY INC,00D27,,,
"HY-GRADE VALVE, INC.",00DR5,,,
KITZ CORPORATION OF AMERICA,00DW2,,,
GRIFFITH RUBBER MILLS INC DBA BAUMAN HARNISH RUBBER CO,00DW6,,,
"CARDINAL HEALTH, INC.",00E55,,,
SILICON CONTROL INC,00ET1,,,
PHILLIPS EQUIPMENT SYSTEMS INC,00ET4,,,
CUSTOM MARINE ELECTRONICS INC,00G68,,,
"SUPPLIER INSPECTION SERVICES, INC.",00GR4,,,
ROKETT INDUSTRIES,00HA2,,,
S W INTERCONNECT INC,00HC0,,,
ECLIPSE AERONAUTICAL CORPORATION,00JR8,,,
"CAPITAL LOGISTIC SERVICES, INCORPORATED",00KN7,,,
"ASSA ABLOY GLOBAL SOLUTIONS, INC.",00LN5,,,
SCM MICROSYSTEMS INC,00M05,,,
CENTROID PRODUCTS INC,00MA4,,,
EXELTECH INCORPORATED DBA EXELTECH INC DIV EXELTECH,00MC3,,,
"TELEDYNE INSTRUMENTS, INC. DBA TELEDYNE TSS DIV TELEDYNE TSS",00MQ6,,,
PHANTOM PRODUCTS INC.,00MW9,,,
GENERAL TOOL COMPANY,00PP1,,,
GETAC INC,00PP6,,,
RAINE INC,00PX1,,,
"EAC SHIELDING, INC",00PZ4,,,
KLS-MARTIN LIMITED PARTNERSHIP DBA KLS MARTIN LP,00Q97,,,
EDEL ENGINEERING DEVELOPMENT CO. DBA EDEL ENGINEERING DEV CO,00QR4,,,
"LSC PERIPHERALS, INCORPORATED DIV LSC PERIPHERALS INC",00QW8,,,
"WIETESKI, VICTOR DIV VIC VICTOR INDUSTRIAL COILS",00R85,,,
STODDARD SILENCERS INC,00SV8,,,
ALLIANCE MEDICAL INC. DBA ALLMED,00T35,,,
GRANITE GEAR INC.,00UE5,,,
GAI-TRONICS CORP DIV GAI TRONICS CORPORATION,00UH6,,,
CONTINENTAL ENGINES INC,00UX1,,,
"MESA LABORATORIES, INC.",00V11,,,
MINE SAFETY APPLIANCES COMPANY DBA PERMANENT INSTRUMENTS DIVISION,00VT4,,,
WHEELOCK CHARLES F & ASSOCIATES INC,00W74,,,
UNITED FABRICANTS STRAINRITE CORPORATION DBA U F STRAINRITE,00WN3,,,
SCIENTIFIC DEVICE LABORATORY INC DIV SCIENTIFIC DEVICE LABORATORY,00Y62,,,
